year,record_type,number_scripts,npropname,ther_class,payer,unique_members,total_cost,cost_per_user,cost_per_script,cost_per_days_supply,cost_per_unit_dispensed,total_scripts_filled,yearly_pct_change_cost_per_script,total_cost_rank,cost_per_user_rank,cost_per_script_rank,cost_per_days_supply_rank,cost_per_unit_dispensed_rank,total_scripts_filled_rank,yearly_pct_change_cost_per_script_rank,days_supply_median,days_supply_mean,days_supply_stddev,quantity_median,quantity_mean,quantity_stddev,insurer_paid_median,insurer_paid_mean,insurer_paid_stddev,insurer_paid_sum,member_paid_median,member_paid_mean,member_paid_stddev,member_paid_sum,total_paid_median,total_paid_mean,total_paid_stddev,total_paid_sum,pct_total_pharm_spending,pct_scripts_0_18,pct_scripts_19_44,pct_scripts_45_64,pct_scripts_65_plus,pct_scripts_female,pct_scripts_male,pct_scripts_urban_core,pct_scripts_suburban,pct_scripts_micropolitan,pct_scripts_rural_smalltown
2020,Drug,50726,ALLOPURINOL,Analgesics and Anesthetics,COMMERCIAL,12924,726931.82,56.24,14.33,0.21,0.16,50726,-0.142,286,962,1082,1206,1139,65,1051,90.0,67.7,29.2,90.0,85.0,55.4,0.0,3.33,7.28,168950.91,9.16,10.99,9.52,557696.6,11.77,14.33,10.59,726931.82,0.0001278540196653,0.0023459369948349,0.14633521271143,0.687398966999172,0.163919883294562,0.116271734416275,0.883728265583724,0.607696250443559,0.136182628237984,0.10030359184639,0.155817529472065
2020,Drug,38,MIDAZOLAM (ANTICONVULSANT),Neuromuscular Drugs,MEDICARE,24,26702.07,1112.58,702.68,58.55,284.06,38,,951,383,243,167,69,1214,,2.0,12.0,13.5,2.0,2.4,1.3,578.22,675.55,392.51,25671.2,0.0,13.34,76.11,506.93,578.22,702.68,367.19,26702.07,4.69640603e-6,,,,,0.421052631578947,0.578947368421052,,,,
2020,Drug,25,POTASSIUM & SODIUM PHOSPHATES,Nutritional Products,COMMERCIAL,12,978.68,81.55,39.14,1.6,0.49,25,0.059,1217,875,829,767,917,1246,410,30.0,24.4,13.1,90.0,79.5,42.1,0.0,11.8,15.99,295.08,10.0,27.34,31.69,683.6,31.62,39.14,24.41,978.68,1.721319228e-7,,,,,,,,,,
2020,Drug,1464,FAMCICLOVIR,Anti-Infective Agents,COMMERCIAL,690,53660.82,77.76,36.65,1.96,0.98,1464,0.147,801,886,849,722,746,510,179,7.0,18.6,25.1,21.0,37.0,43.5,3.9,18.72,33.61,27415.76,10.0,17.91,29.96,26232.66,22.38,36.65,45.03,53660.82,9.4379573802e-6,0.0273224043715846,0.370218579234972,0.562841530054644,0.0396174863387978,0.638661202185792,0.361338797814207,0.56967213114754,0.119535519125683,0.139344262295081,0.171448087431693
2020,Drug,50,HYDROGEN PEROXIDE,Miscellaneous Products,MINNESOTA HEALTH CARE PROGRAMS,35,3098.74,88.53,61.97,3.02,0.19,50,-0.286,1059,724,544,535,1007,1085,1056,15.0,20.4,9.1,236.0,323.4,132.4,5.2,61.48,152.85,3074.15,0.0,0.49,0.97,24.59,5.26,61.97,152.67,3098.74,5.450117246e-7,,,,,0.56,0.44,,,,
2020,Drug,75,ISRADIPINE,Cardiovascular Agents,MEDICARE,21,15661.2,745.77,208.81,2.84,1.34,75,0.081,1017,431,456,630,691,1123,286,90.0,73.3,28.8,180.0,155.7,92.0,140.92,175.2,132.07,13140.33,20.0,33.16,39.49,2487.74,189.82,208.81,128.24,15661.2,2.7545188113e-6,,,,,0.493333333333333,0.506666666666666,,,,
2020,Drug,18411,BUDESONIDE (INHALATION),Respiratory Agents,MEDICARE,4051,4596147.87,1134.57,249.64,7.48,2.68,18411,-0.082,121,380,416,451,581,211,942,30.0,33.3,22.0,60.0,92.9,84.2,149.6,208.46,208.55,3838093.59,8.95,40.65,74.35,748427.43,183.79,249.64,232.68,4596147.87,0.0008083783980676,0.0,0.0284069306392917,0.0869045679213513,0.884688501439356,0.623431644125794,0.376568355874205,0.407528108196187,0.0894030742490902,0.185378306447232,0.31769051110749
2020,Drug,50,ORLISTAT,Stimulants/Anti-Obesity/Anorexia,COMMERCIAL,25,45095.01,1803.8,901.9,22.77,7.96,50,0.378,837,276,201,249,426,1155,49,30.0,39.6,22.8,90.0,113.2,73.1,648.11,853.73,478.04,42686.71,55.0,48.16,35.52,2408.3,690.79,901.9,498.54,45095.01,7.9313879743e-6,,,,,0.62,0.38,,,,
2020,Drug,191,RISPERIDONE MICROSPHERES,Central Nervous System Drugs,COMMERCIAL,25,213911.59,8556.46,1119.95,61.27,570.43,191,-0.393,525,128,175,156,48,909,1212,14.0,18.2,8.7,1.0,1.9,3.4,991.15,1077.56,662.79,205814.11,0.0,37.18,162.38,7102.81,991.15,1119.95,635.94,213911.59,0.0000376231386246,,,,,0.345549738219895,0.654450261780104,,,,
2020,Drug,91,TRIFLURIDINE-TIPIRACIL,Antineoplastic Agents,COMMERCIAL,25,1058698.98,42347.95,11634.05,416.64,214.92,91,0.036,228,55,34,34,96,1052,503,28.0,27.9,1.4,60.0,54.1,21.7,12196.83,11177.88,4456.51,1017187.74,0.0,349.81,919.78,31833.09,13483.2,11634.05,4513.55,1058698.98,0.0001862057987895,,,,,0.351648351648351,0.648351648351648,,,,
2020,Drug,220,TOBRAMYCIN SULFATE,Anti-Infective Agents,MEDICARE,71,15840.41,223.1,72.0,4.72,1.22,220,0.342,1016,678,676,534,709,958,43,12.0,15.2,12.3,15.0,58.9,94.7,28.99,63.83,108.98,14043.27,0.04,8.14,21.69,1791.88,34.99,72.0,118.03,15840.41,2.7860385746e-6,0.0,0.29090909090909,0.136363636363636,0.572727272727272,0.413636363636363,0.586363636363636,,,,
2020,Drug,2284,CALCIUM CITRATE-VITAMIN D,Nutritional Products,MINNESOTA HEALTH CARE PROGRAMS,472,16489.9,34.93,7.21,0.23,0.08,2284,0.085,879,946,1073,1088,1102,457,401,30.0,31.2,14.1,60.0,83.2,56.6,3.97,6.3,24.21,14391.38,1.0,0.91,2.52,2094.89,4.76,7.21,24.22,16489.9,2.9002719937e-6,0.025831873905429,0.228108581436077,0.54246935201401,0.203590192644483,0.785464098073555,0.214535901926444,0.570490367775831,0.120840630472854,0.141418563922942,0.167250437828371
2020,Drug,262,VORICONAZOLE,Anti-Infective Agents,MINNESOTA HEALTH CARE PROGRAMS,74,178731.57,2415.29,682.18,27.02,6.79,262,0.012,485,205,167,195,384,834,636,30.0,25.2,7.5,60.0,100.3,87.8,484.42,627.13,741.06,164308.26,0.0,32.45,185.17,8502.12,528.69,682.18,732.63,178731.57,0.0000314356161566,0.312977099236641,0.290076335877862,0.396946564885496,0.0,0.351145038167938,0.648854961832061,,,,
2020,Drug,657,NORETHIN ACET & ESTRAD-FE,Endocrine and Metabolic Drugs,MEDICARE,146,23931.25,163.91,36.42,0.64,0.59,657,-0.079,964,748,866,984,875,746,923,63.0,56.2,30.7,84.0,61.3,32.7,24.23,35.12,23.81,23078.5,0.0,1.29,6.1,852.75,24.92,36.42,23.42,23931.25,4.2090694394e-6,,,,,1.0,0.0,0.668188736681887,0.210045662100456,0.0852359208523592,0.0365296803652968
2020,Drug,223122,ROSUVASTATIN CALCIUM,Cardiovascular Agents,MEDICARE,57554,10115168.95,175.75,45.33,0.61,0.63,223122,-0.283,55,733,806,994,853,20,1173,90.0,73.2,27.6,90.0,71.0,30.5,14.62,35.35,54.53,7888476.88,3.6,9.88,21.93,2205961.03,21.28,45.33,62.27,10115168.95,0.0017790733247198,0.0,0.0070589184392395,0.0837523865867104,0.90918869497405,0.52692249083461,0.473077509165389,0.535151172900924,0.110316329183137,0.135540197739353,0.218992300176585
2020,Drug,6813,MODAFINIL,Stimulants/Anti-Obesity/Anorexia,MEDICARE,1225,1810583.82,1478.02,265.75,6.94,4.78,6813,-0.006,231,341,401,470,503,333,673,30.0,38.2,22.2,45.0,55.5,39.9,73.89,234.52,647.42,1597787.74,3.6,29.44,64.8,200620.38,92.43,265.75,653.64,1810583.82,0.0003184485985606,0.0,0.136797299280786,0.380155584911199,0.483047115808014,0.642595038896227,0.357404961103772,0.545868193160135,0.103185087333039,0.138411859680023,0.212534859826801
2020,Drug,125,PSEUDOEPHED-BROMPHEN-DM,Respiratory Agents,COMMERCIAL,118,2209.6,18.72,17.67,1.96,0.1,125,-0.039,1171,1142,1029,720,1204,1003,832,7.0,8.9,7.4,120.0,174.4,98.7,0.0,4.82,9.08,603.13,10.0,12.85,10.85,1606.47,14.89,17.67,13.21,2209.6,3.88628251e-7,,,,,0.496,0.504,0.696,0.096,0.12,0.088
2020,Drug,2798,PRASUGREL HCL,Hematological Agents,MEDICARE,762,268998.68,353.01,96.13,1.52,1.5,2798,-0.168,583,587,608,783,671,489,1099,90.0,63.1,30.2,90.0,63.8,31.9,21.35,56.16,77.84,157161.73,22.78,39.8,52.11,111366.39,67.34,96.13,86.01,268998.68,0.0000473119508273,0.0,0.0082201572551822,0.172265904217298,0.819513938527519,0.368477483917083,0.631522516082916,0.539671193709792,0.108291636883488,0.138313080771979,0.213724088634739
2020,Drug,1533,DUTASTERIDE,Genitourinary Products,COMMERCIAL,412,71273.89,172.99,46.49,0.68,0.6,1533,-0.32,746,680,776,981,853,508,1192,90.0,67.9,29.2,90.0,76.4,42.4,3.2,22.99,40.86,35247.28,19.98,23.49,25.0,36011.22,31.46,46.49,48.01,71273.89,0.0000125357744467,0.0,0.0880626223091976,0.502935420743639,0.409001956947162,0.0600130463144161,0.939986953685583,0.657534246575342,0.107632093933463,0.0887149380300065,0.146118721461187
2020,Drug,25,DIBUCAINE (RECTAL),Topical Products,COMMERCIAL,25,156.59,6.26,6.26,0.5,0.19,25,-0.085,1275,1261,1210,1046,1114,1246,954,10.0,12.3,7.3,28.0,31.3,9.3,0.0,0.29,1.48,7.39,5.7,5.96,1.88,149.2,5.7,6.26,1.64,156.59,2.75413187e-8,,,,,,,,,,
