row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_median,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_median,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_median
370519,2020,013,Blue Earth,MEDICARE,5,75 years and older,F,1476,Other,14563,9178,17383,919985.15,100.23,68.81,834384.11,90.91,61.4,85601.04,9.32,0.0
368201,2020,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,15,Inpatient Non-acute,316,157,175,192583.33,1226.64,380.0,192577.33,1226.6,380.0,6.0,0.03,0.0
370520,2020,013,Blue Earth,MEDICARE,5,75 years and older,F,70,Outpatient Other,1909,330,796,80957.98,245.32,111.53,68310.78,207.0,108.66,12647.2,38.32,0.0
368203,2020,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,295,Other,24159,14183,3386,2765818.77,195.0,145.68,2764441.87,194.91,145.68,1376.9,0.09,0.0
370522,2020,013,Blue Earth,MEDICARE,5,75 years and older,M,309,Ambulance,1576,700,3395,370200.67,528.85,467.1,311479.03,444.97,365.73,58721.64,83.88,78.33
368204,2020,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,34,Outpatient Other,1646,1353,397,127559.1,94.27,26.16,127559.1,94.27,26.16,0.0,0.0,0.0
370523,2020,013,Blue Earth,MEDICARE,5,75 years and older,M,163,Ambulatory Surgery,1269,269,1949,432427.13,1607.53,902.53,373256.98,1387.57,746.11,59170.15,219.96,141.14
368205,2020,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,M,33,Ambulance,326,238,379,21979.72,92.35,3.3,21976.37,92.33,3.3,3.35,0.01,0.0
370524,2020,013,Blue Earth,MEDICARE,5,75 years and older,M,1673,Clinic/Office,50796,19732,19713,3687030.33,186.85,80.99,2996716.23,151.87,63.54,690314.1,34.98,12.71
368207,2020,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,M,356,Clinic/Office,3293,2412,3984,233537.31,96.82,58.73,230158.66,95.42,55.73,3378.65,1.4,0.0
370525,2020,013,Blue Earth,MEDICARE,5,75 years and older,M,317,DME (Durable Medical Equipment),2864,1826,3675,200227.65,109.65,42.12,161129.81,88.24,33.7,39097.84,21.41,8.18
